review_id,user_id,product_id,rating,review_text,review_date,verified_purchase,helpful_votes,review_length,sentiment_score,is_fake
1,2343,664,1,Not as described,29-12-2022,0,140,16,0.317,0
2,1752,453,2,Stopped working after few days,03-09-2022,0,150,30,0.234,0
3,5227,965,4,"Great product, highly recommend",04-08-2024,1,79,31,0.822,0
4,5827,529,2,Stopped working after few days,04-09-2023,0,166,30,0.251,0
5,4057,73,3,Product is okay,18-11-2023,1,22,15,-0.981,0
6,5380,799,1,Very disappointed with the quality,01-02-2022,0,120,34,0.751,0
7,4050,1081,2,Stopped working after few days,25-07-2023,1,200,30,0.954,0
8,7961,279,2,Stopped working after few days,03-01-2024,0,86,30,0.82,0
9,1303,456,1,Waste of money,02-12-2022,0,187,14,0.08,0
10,1461,357,3,Average experience,16-03-2024,1,145,18,0.106,0
11,6045,1058,2,Stopped working after few days,23-01-2024,1,76,30,0.02,0
12,6877,339,3,Product is okay,14-10-2023,1,151,15,-0.429,0
13,320,622,1,Waste of money,14-07-2022,0,120,14,-0.819,0
14,2709,1136,3,Does the job,23-01-2024,1,168,12,-0.568,0
15,4533,1062,5,Amazing product and good value,11-08-2023,0,153,30,-0.835,0
16,894,635,1,"Terrible product, do not buy",21-10-2022,0,147,28,-0.516,0
17,1981,579,4,Excellent quality and fast delivery,08-08-2022,0,12,35,-0.52,0
18,7592,1094,2,Waste of money,20-11-2022,1,95,14,-0.188,0
19,4611,430,4,Works perfectly and looks great,27-08-2022,1,121,31,-0.568,0
20,5203,406,3,Product is okay,26-08-2023,1,20,15,-0.835,0
21,3193,1140,2,Stopped working after few days,08-07-2024,0,17,30,0.919,0
22,3147,780,1,Not as described,28-03-2024,1,130,16,-0.695,0
23,1215,272,5,Excellent quality and fast delivery,25-08-2022,0,48,35,-0.674,0
24,1227,482,5,Works perfectly and looks great,18-03-2023,1,183,31,0.982,0
25,4050,314,5,"Great product, highly recommend",25-11-2023,1,29,31,-0.049,0
